
RUN = 351
subRunNo MAX = 1033
L1 count MAX = 330
TOTAL ENTRIES = 25448176
35754 495 33
35761 502 33
35779 520 33
35797 538 33
35808 549 33
35820 561 33
35840 581 33
35870 611 33
35891 632 33
35926 667 33
35932 673 33
35950 691 33
35977 718 33
35990 731 33
36007 748 33
36009 750 33
36020 761 33
36029 770 33
36039 780 33
36069 810 33
36183 924 33
36194 935 33
36215 956 33
36219 960 33
36223 964 33
36314 18 34
36337 41 34
36353 57 34
36357 61 34
36406 110 34
36414 118 34
36493 197 34
36537 241 34
36539 243 34
36579 283 34
36621 325 34
36673 377 34
36691 395 34
36703 407 34
36709 413 34
36726 430 34
36757 461 34
36791 495 34
36798 502 34
36816 520 34
36834 538 34
36845 549 34
36857 561 34
36877 581 34
36907 611 34
36928 632 34
36963 667 34
36969 673 34
36987 691 34
37014 718 34
37027 731 34
37044 748 34
37046 750 34
37057 761 34
37066 770 34
37076 780 34
37106 810 34
37220 924 34
37231 935 34
37252 956 34
37256 960 34
37260 964 34
37351 18 35
37374 41 35
37390 57 35
37394 61 35
37443 110 35
37451 118 35
37530 197 35
37574 241 35
37576 243 35
37616 283 35
37658 325 35
37710 377 35
37728 395 35
37740 407 35
37746 413 35
37763 430 35
37794 461 35
37828 495 35
37835 502 35
37853 520 35
37871 538 35
37882 549 35
37894 561 35
37914 581 35
37944 611 35
37965 632 35
38000 667 35
38006 673 35
38024 691 35
38051 718 35
38064 731 35
38081 748 35
38083 750 35
38094 761 35
38103 770 35
38113 780 35
38143 810 35
38257 924 35
38268 935 35
38289 956 35
38293 960 35
38297 964 35
38388 18 36
38411 41 36
38427 57 36
38431 61 36
38480 110 36
38488 118 36
38509 139 36
38567 197 36
38604 234 36
38611 241 36
38613 243 36
38653 283 36
38695 325 36
38728 358 36
38747 377 36
38751 381 36
38765 395 36
38777 407 36
38783 413 36
38800 430 36
38831 461 36
38840 470 36
38865 495 36
38872 502 36
38890 520 36
38908 538 36
38919 549 36
38931 561 36
38951 581 36
38981 611 36
39002 632 36
39037 667 36
39043 673 36
39061 691 36
39088 718 36
39101 731 36
39118 748 36
39120 750 36
39131 761 36
39140 770 36
39150 780 36
39180 810 36
39205 835 36
39294 924 36
39304 934 36
39305 935 36
39326 956 36
39330 960 36
39334 964 36
39366 996 36
39425 18 37
39448 41 37
39464 57 37
39468 61 37
39517 110 37
39525 118 37
39604 197 37
39641 234 37
39648 241 37
39650 243 37
39690 283 37
39732 325 37
39765 358 37
39784 377 37
39788 381 37
39789 382 37
39802 395 37
39814 407 37
39820 413 37
39837 430 37
39868 461 37
39877 470 37
39902 495 37
39909 502 37
39927 520 37
39945 538 37
39956 549 37
39968 561 37
39988 581 37
40018 611 37
40039 632 37
40074 667 37
40080 673 37
40098 691 37
40125 718 37
40138 731 37
40155 748 37
40157 750 37
40168 761 37
40177 770 37
40187 780 37
40217 810 37
40242 835 37
40341 934 37
40342 935 37
40363 956 37
40367 960 37
40371 964 37
40462 18 38
40485 41 38
40501 57 38
40505 61 38
40554 110 38
40562 118 38
40583 139 38
40641 197 38
40678 234 38
40685 241 38
40687 243 38
40727 283 38
40769 325 38
40802 358 38
40821 377 38
40839 395 38
40851 407 38
40857 413 38
40874 430 38
40905 461 38
40914 470 38
40939 495 38
40946 502 38
40982 538 38
40993 549 38
41005 561 38
41025 581 38
41055 611 38
41076 632 38
41111 667 38
41117 673 38
41135 691 38
41162 718 38
41175 731 38
41192 748 38
41194 750 38
41205 761 38
41214 770 38
41224 780 38
41279 835 38
41368 924 38
41378 934 38
41379 935 38
41400 956 38
41404 960 38
41408 964 38
41440 996 38
41499 18 39
41522 41 39
41538 57 39
41542 61 39
41591 110 39
41599 118 39
41678 197 39
41715 234 39
41722 241 39
41724 243 39
41764 283 39
41806 325 39
41839 358 39
41858 377 39
41863 382 39
41876 395 39
41888 407 39
41894 413 39
41911 430 39
41942 461 39
41951 470 39
41976 495 39
41983 502 39
42019 538 39
42030 549 39
42042 561 39
42062 581 39
42092 611 39
42113 632 39
42148 667 39
42154 673 39
42172 691 39
42199 718 39
42212 731 39
42229 748 39
42231 750 39
42242 761 39
42251 770 39
42261 780 39
42316 835 39
42415 934 39
42416 935 39
42437 956 39
42441 960 39
42445 964 39
42477 996 39
42536 18 40
42559 41 40
42575 57 40
42579 61 40
42628 110 40
42636 118 40
42715 197 40
42759 241 40
42761 243 40
42801 283 40
42843 325 40
42895 377 40
42925 407 40
42931 413 40
42948 430 40
42979 461 40
43013 495 40
43020 502 40
43056 538 40
43067 549 40
43079 561 40
43099 581 40
43129 611 40
43150 632 40
43191 673 40
43209 691 40
43236 718 40
43249 731 40
43266 748 40
43268 750 40
